temperature,humidity,soil_moisture,rain_detection,water_level,motor_status
21.27,40.42,33.72,0,41,0
31.0,53.0,66.0,0,54,0
28.0,48.0,36.0,0,36,0
37.0,58.0,45.0,0,59,0
26.0,72.0,58.0,0,72,0
35.0,88.0,50.0,0,76,0
27.0,81.0,36.0,1,92,0
34.0,55.0,60.0,0,55,0
24.0,42.0,46.0,0,54,0
34.0,56.0,55.0,0,56,0
20.0,57.0,23.0,0,41,1
36.0,92.0,69.0,0,71,0
20.0,77.0,53.0,0,74,0
22.0,88.0,61.0,1,89,0
21.0,60.0,39.0,0,52,0
28.0,68.0,31.0,0,46,0
28.0,51.0,38.0,0,44,0
27.0,84.0,64.0,1,88,0
36.0,40.0,46.0,0,74,0
31.0,71.0,64.0,0,54,0
31.0,51.0,48.0,0,75,0
36.0,62.0,34.0,0,21,0
29.0,64.0,40.0,0,40,0
33.0,71.0,33.0,0,35,0
36.0,52.0,47.0,0,66,0
39.0,72.0,51.0,0,57,0
26.0,65.0,41.0,0,31,0
29.0,80.0,46.0,0,75,0
20.0,44.0,65.0,0,58,0
37.0,48.0,58.0,0,70,0
38.0,64.0,47.0,0,70,0
30.0,64.0,45.0,0,65,0
36.0,55.0,16.0,0,35,0
32.0,65.0,53.0,0,61,0
35.0,71.0,46.0,0,59,0
32.0,48.0,10.0,0,27,0
32.0,71.0,16.0,0,46,1
29.0,45.0,64.0,0,65,0
38.0,50.0,22.0,0,20,0
21.0,54.0,43.0,0,23,0
32.0,55.0,31.0,0,39,0
27.0,76.0,45.0,0,73,0
32.0,43.0,29.0,0,33,1
38.0,61.0,62.0,0,70,0
28.0,75.0,32.0,0,34,0
32.0,65.0,53.0,0,61,0
33.0,61.0,34.0,0,37,0
38.0,58.0,21.0,0,32,0
39.0,47.0,64.0,0,51,0
39.0,70.0,13.0,0,42,1
39.0,94.0,17.0,0,28,0
24.0,68.0,12.0,0,34,0
36.0,65.0,17.0,0,48,1
39.0,55.0,23.0,0,35,0
36.0,86.0,18.0,0,29,0
38.0,66.0,18.0,0,42,1
39.0,76.0,65.0,0,61,0
31.0,81.0,29.0,1,98,1
20.0,45.0,59.0,0,73,0
23.0,41.0,56.0,0,61,0
22.0,89.0,16.0,1,84,0
37.0,56.0,21.0,0,25,0
37.0,54.0,24.0,0,25,0
35.0,71.0,12.0,0,54,1
31.0,72.0,29.0,0,40,0
32.0,56.0,41.0,0,28,0
24.0,55.0,24.0,0,24,0
32.0,43.0,25.0,0,43,1
28.0,56.0,68.0,0,75,0
31.0,86.0,62.0,0,59,0
38.0,92.0,24.0,0,37,1
34.0,51.0,56.0,0,62,0
23.0,78.0,29.0,0,47,0
23.0,57.0,23.0,0,49,1
37.0,86.0,27.0,0,21,0
29.0,84.0,66.0,1,90,0
22.0,76.0,50.0,0,67,0
23.0,76.0,65.0,0,50,0
31.0,87.0,55.0,0,79,0
32.0,70.0,19.0,0,53,1
40.0,89.0,23.0,0,35,0
34.0,93.0,49.0,0,68,0
36.0,91.0,21.0,0,49,1
21.0,40.0,28.0,0,21,0
26.0,84.0,29.0,1,93,0
38.0,63.0,50.0,0,66,0
26.0,79.0,22.0,1,76,0
26.0,45.0,34.0,0,28,0
35.0,43.0,14.0,0,43,1
23.0,65.0,34.0,0,49,0
27.0,48.0,54.0,0,58,0
25.0,73.0,47.0,0,67,0
21.0,69.0,15.0,0,36,1
32.0,73.0,45.0,0,79,0
32.0,84.0,51.0,0,67,0
25.0,61.0,67.0,0,50,0
28.0,86.0,48.0,1,94,0
36.0,62.0,16.0,0,31,1
22.0,85.0,31.0,1,92,0
37.0,82.0,69.0,0,79,0
33.0,91.0,31.0,0,34,0
38.0,83.0,63.0,0,56,0
31.0,50.0,26.0,0,23,0
24.0,70.0,54.0,0,58,0
38.0,72.0,45.0,0,63,0
23.0,63.0,32.0,0,48,1
36.0,54.0,45.0,0,77,0
24.0,52.0,45.0,0,51,0
39.0,54.0,56.0,0,73,0
29.0,41.0,60.0,0,60,0
30.9,58.91,15.06,0,41,1
24.0,87.0,54.0,1,99,0
33.0,70.0,61.0,0,68,0
23.0,53.0,65.0,0,65,0
33.87,80.52,30.21,0,41,0
35.0,60.0,37.0,0,43,0
20.0,82.0,61.0,0,57,0
20.0,65.0,33.0,0,54,0
21.0,47.0,20.0,0,20,0
22.0,91.0,41.0,1,86,0
26.0,53.0,59.0,0,50,0
30.0,61.0,29.0,0,27,0
21.0,73.0,34.0,0,23,0
28.0,55.0,14.0,0,21,0
37.0,64.0,33.0,0,32,0
35.0,62.0,36.0,0,50,0
31.0,80.0,24.0,0,41,1
34.0,53.0,51.0,0,61,0
23.0,65.0,13.0,0,28,0
30.0,45.0,45.0,0,73,0
39.0,53.0,56.0,0,75,0
34.0,65.0,29.0,0,29,0
21.0,46.0,25.0,0,22,0
30.0,92.0,45.0,1,79,0
21.0,74.0,46.0,0,54,0
31.0,83.0,45.0,1,79,0
27.0,47.0,49.0,0,61,0
39.0,45.0,48.0,0,50,0
37.0,46.0,30.0,0,40,0
22.69,70.7,12.8,0,44,1
34.0,66.0,19.0,0,28,0
33.0,53.0,25.0,0,45,1
32.0,42.0,11.0,0,35,0
40.0,86.0,49.0,0,50,0
21.0,61.0,12.0,0,25,0
39.0,75.0,11.0,0,27,0
38.0,62.0,36.0,0,46,0
37.0,62.0,63.0,0,68,0
30.0,50.0,15.0,0,20,0
36.0,81.0,21.0,0,35,1
24.0,92.0,68.0,1,74,0
24.0,91.0,54.0,1,90,0
33.0,45.0,22.0,0,23,0
27.0,46.0,23.0,0,22,0
35.0,74.0,56.0,0,76,0
32.0,50.0,10.0,0,43,1
38.0,90.0,63.0,0,76,0
20.0,64.0,60.0,0,53,0
35.0,94.0,26.0,0,27,0
31.0,70.0,30.0,0,45,0
34.0,42.0,24.0,0,38,1
25.0,60.0,23.0,0,21,0
30.0,46.0,58.0,0,74,0
23.0,40.0,24.0,0,44,1
28.0,46.0,25.0,0,38,1
34.0,72.0,61.0,0,52,0
33.0,79.0,13.0,0,26,0
33.0,75.0,54.0,0,57,0
35.0,78.0,55.0,0,77,0
33.0,65.0,17.0,0,33,0
39.0,88.0,17.0,0,42,1
34.0,46.0,47.0,0,51,0
33.0,83.0,43.0,0,52,0
24.0,82.0,45.0,0,52,0
29.0,80.0,45.0,1,78,0
30.0,61.0,51.0,0,52,0
27.0,68.0,62.0,0,62,0
32.0,61.0,37.0,0,41,0
27.0,64.0,36.0,0,42,0
24.0,77.0,30.0,0,41,0
38.0,48.0,39.0,0,40,0
39.0,55.0,29.0,0,51,0
29.0,79.0,16.0,0,26,0
35.0,65.0,47.0,0,59,0
31.0,43.0,34.0,0,35,0
37.0,86.0,47.0,0,56,0
35.0,70.0,34.0,0,52,0
38.0,44.0,22.0,0,38,1
28.0,46.0,23.0,0,48,1
38.0,71.0,59.0,0,58,0
27.0,63.0,61.0,0,57,0
25.0,71.0,61.0,0,69,0
31.0,49.0,14.0,0,28,0
35.0,46.0,30.0,0,45,0
27.0,79.0,42.0,0,21,0
38.0,40.0,66.0,0,79,0
34.0,57.0,41.0,0,43,0
29.0,80.0,40.0,0,53,0
30.0,67.0,49.0,0,77,0
23.0,75.0,57.0,0,73,0
23.0,56.0,44.0,0,32,0
24.0,57.0,23.0,0,32,0
31.0,50.0,38.0,0,50,0
39.0,88.0,21.0,0,34,1
37.0,71.0,42.0,0,47,0
26.0,42.0,56.0,0,50,0
25.0,74.0,60.0,0,64,0
33.0,72.0,27.0,0,26,0
21.4,68.58,18.69,0,28,0
20.0,75.0,59.0,0,57,0
27.0,62.0,40.0,0,48,0
38.0,76.0,26.0,0,42,1
28.0,49.0,45.0,0,76,0
23.0,63.0,45.0,0,53,0
39.0,72.0,19.0,0,27,0
39.0,55.0,46.0,0,52,0
30.0,55.0,48.0,0,64,0
39.0,51.0,48.0,0,51,0
24.0,42.0,41.0,0,22,0
24.0,70.0,20.0,0,41,1
21.0,65.0,23.0,0,53,1
37.0,95.0,32.0,0,52,1
33.0,57.0,53.0,0,53,0
40.0,44.0,57.0,0,69,0
31.0,72.0,16.0,0,47,1
30.0,74.0,46.0,0,78,0
27.0,47.0,36.0,0,31,0
23.0,79.0,33.0,0,22,0
39.0,62.0,54.0,0,54,0
24.8,63.74,27.76,0,45,1
28.0,61.0,32.0,0,26,1
24.0,83.0,53.0,1,88,0
30.02,51.23,21.73,0,43,1
20.0,44.0,29.0,0,27,0
29.0,81.0,61.0,0,57,0
20.0,90.0,16.0,1,98,0
37.0,94.0,62.0,0,67,0
39.0,78.0,13.0,0,48,1
39.0,67.0,10.0,0,36,1
38.0,86.0,25.0,0,43,1
22.0,44.0,26.0,0,45,1
32.0,55.0,25.0,0,24,0
25.0,85.0,13.0,1,97,0
37.0,46.0,67.0,0,60,0
35.0,47.0,58.0,0,64,0
