K,N,P,soil_moisture,humidity,ph,rainfall,temperature,label
25,87,48,46.87,61.37879671,6.656730008,93.62039175,18.65396672,maize
22,71,60,57.65,59.37147589,6.2048017,85.75692395,26.07470121,maize
24,90,57,33.79,72.80086137,6.158860284,82.34162918,18.92851916,maize
22,67,35,43.28,63.24648023,6.385684214,108.7603001,23.30546753,maize
19,60,54,25.22,62.49878458,6.417820493,70.23401597,18.74826712,maize
23,83,58,56.73,59.66263104,6.381201909,65.50861389,19.74213321,maize
19,83,57,62.08,70.74739256,6.877869005,98.73771338,25.73044432,maize
77,40,72,17.1,16.98861173,7.485996067,88.55123143,17.02498456,chickpea
84,23,72,29.98,17.13159126,6.920251378,79.92698081,19.02061277,chickpea
85,39,58,39.45,15.40589717,5.996932037,68.54932919,17.88776475,chickpea
85,22,72,26.17,15.65809214,6.391173589,88.51048983,18.86805647,chickpea
77,36,67,24.69,19.56381041,7.152811172,79.26357665,18.36952567,chickpea
81,32,73,42.11,15.40312102,5.988992796,92.68373702,20.45078582,chickpea
84,58,70,13.25,16.60820843,6.231049028,74.6631118,20.6543203,chickpea
84,59,70,55.95,18.74926979,7.550808267,82.61734721,17.3348681,chickpea
75,42,62,46.05,18.90426935,7.010570541,81.84997529,18.17912258,chickpea
81,28,74,50.84,18.30968112,8.753795334,81.98568791,18.01272266,chickpea
79,58,66,28.03,19.33470387,8.718192847,93.55280105,20.99373558,chickpea
79,43,66,46.7,15.22538951,7.976607593,74.58565097,19.46233971,chickpea
81,58,63,31.29,14.69765308,6.515499549,78.96514709,19.81344531,chickpea
85,23,62,17.78,19.5161216,8.490127142,80.7108745,18.97424756,chickpea
77,27,62,48.85,14.71070537,6.576415562,70.18185181,18.19737048,chickpea
84,28,72,48.85,19.18197264,6.481783043,71.58010169,18.72963144,chickpea
76,50,56,57.56,19.8601304,7.966605025,73.50734019,20.99502153,chickpea
84,39,71,33.6,16.39535215,8.140825437,82.52339655,20.28155898,chickpea
76,25,78,42.87,15.7559405,7.228963452,66.96980581,17.48042641,chickpea
77,31,70,56.37,14.32313811,6.492546046,90.46228334,20.88818675,chickpea
83,26,80,46.9,16.14565756,7.528599957,71.31007253,17.08498521,chickpea
77,25,68,22.44,15.11279612,7.701446446,85.74904898,20.09340593,chickpea
76,31,78,11.83,14.99927489,8.519975748,89.31050665,17.57212145,chickpea
83,60,68,62.06,18.43475844,6.620900869,85.52950164,19.12065218,chickpea
83,59,62,17.52,19.22008229,8.104396058,72.94940441,18.57665902,chickpea
78,22,67,48.74,14.42457525,6.204090835,72.32667516,17.16606398,chickpea
80,36,65,57.83,16.67921616,6.051091339,74.87445574,18.2872007,chickpea
84,59,60,31.62,18.66725565,7.690962338,94.70992037,19.03025305,chickpea
85,54,77,27.39,17.0662427,7.829211144,83.74606679,17.1418614,chickpea
81,43,68,29.96,17.93253975,6.761599706,78.92060234,17.47809436,chickpea
82,28,76,17.54,14.25803981,6.654425315,83.75937135,20.56601874,chickpea
85,42,79,21.22,15.82069268,6.129533877,76.57580954,17.22385224,chickpea
83,32,60,34.56,19.44225438,8.829273328,91.76071648,19.69141713,chickpea
76,22,78,16.71,19.09172907,8.621662982,76.32470713,17.84851658,chickpea
75,31,79,47.61,16.1074793,8.204862075,89.73119396,18.8202251,chickpea
81,28,58,14.71,16.54314829,6.18042747,93.35034262,17.47500984,chickpea
77,57,58,13.19,17.58406365,7.978996755,81.20176515,18.72649425,chickpea
78,49,55,32.43,16.17772668,7.863113671,81.70769297,18.65580107,chickpea
77,46,76,11.01,19.68538502,6.967843048,83.74879344,18.2356751,chickpea
77,54,61,18.13,15.21618225,6.206582193,77.5429424,18.81198127,chickpea
76,38,60,11.25,17.80852431,8.868741443,77.92798682,18.65054116,chickpea
79,59,55,41.03,16.89574311,8.766128654,82.2545577,20.36720401,chickpea
75,36,76,37.49,16.63805158,8.736337905,70.52056697,18.38120357,chickpea
81,57,68,23.59,17.30457712,8.081095263,72.78624223,17.17012591,chickpea
81,35,66,13.84,15.77458129,6.138243973,85.24819851,19.37101121,chickpea
78,35,64,54.98,14.27327988,7.496645259,85.37378769,17.92845928,chickpea
79,52,60,55.31,18.23490739,8.380185271,75.6317566,19.45339934,chickpea
83,27,76,43.17,14.92241479,6.289614016,89.61857826,19.12829388,chickpea
84,57,60,29.16,17.26184541,6.586777189,75.49101167,19.1034283,chickpea
78,52,68,46.18,16.96070581,6.89655198,86.05078037,17.48504075,chickpea
79,43,79,32.69,18.98030507,7.806747656,80.25064637,19.40751744,chickpea
85,44,74,57.68,19.63719995,7.150681303,78.26039559,20.18649426,chickpea
78,24,55,59.58,15.15405941,6.64919573,75.57790384,17.30287885,chickpea
75,29,77,41.36,15.48083156,7.778591618,72.9446671,17.50361137,chickpea
78,20,60,9.19,14.70085967,6.358740355,90.7760707,18.17234999,chickpea
78,56,67,63.33,16.71826572,8.255450758,77.81891424,17.57445618,chickpea
85,37,66,32.74,18.91295403,6.456148474,78.06910795,20.93175255,chickpea
76,49,71,17.11,17.63879418,6.613072145,85.57925437,19.71098332,chickpea
80,59,69,33.89,17.86754927,8.165359297,69.40619137,19.07937684,chickpea
77,20,79,28.15,16.02542689,7.64867466,76.32565249,18.54988627,chickpea
85,24,56,21.49,17.41333199,6.545888558,80.6405403,18.19903647,chickpea
75,51,72,60.87,14.99451145,7.104224797,80.1113384,18.88852533,chickpea
85,57,73,44.33,14.72115044,7.358099622,91.94595352,18.49311205,chickpea
82,22,64,20.63,17.17260319,6.4740245,87.51312796,19.48974337,chickpea
79,52,73,26.09,18.74943955,7.840339389,94.00287214,17.25769499,chickpea
75,29,75,25.56,18.71483156,7.064790365,88.4585692,19.62416326,chickpea
78,44,59,24.8,19.85388984,7.599033472,84.78344008,20.67526473,chickpea
82,41,69,63.83,16.63294455,6.715587232,68.97806542,20.02381489,chickpea
85,52,56,49.41,14.44228303,6.81712422,88.68168643,20.1187446,chickpea
80,34,76,12.33,15.84572566,7.985417393,65.23811143,20.65691793,chickpea
83,42,74,59.99,14.2804191,7.545258424,65.78042032,19.2582557,chickpea
79,34,71,35.34,15.85622899,7.728998197,74.63872762,17.927806,chickpea
79,27,73,27.39,15.83500655,7.354973451,82.69766829,19.16288268,chickpea
79,30,70,12.05,19.96978871,7.313122235,69.64449182,20.26942271,chickpea
75,57,57,42.45,18.25142068,7.785039076,87.27444866,17.09104223,chickpea
82,27,79,37.33,17.54024066,6.307004923,70.87150577,17.06579293,chickpea
85,32,71,45.59,14.44008871,6.403982316,92.06630306,20.62767492,chickpea
82,31,76,36.63,17.85057083,7.599279991,79.20509212,20.8248451,chickpea
84,33,75,53.18,18.72831993,7.217018459,68.81405149,19.46210401,chickpea
77,47,80,58.96,16.42891834,7.561108006,72.85017344,17.18248372,chickpea
80,54,62,21.8,16.39055394,7.489545074,79.45758333,17.48911699,chickpea
78,47,79,61.11,14.76014523,6.609696734,65.11365631,17.48395377,chickpea
83,35,57,48.72,17.44534641,7.476800943,80.4986291,19.48316794,chickpea
77,53,73,9.04,18.09665739,7.325451279,73.64476535,19.71359733,chickpea
78,45,61,27.81,16.06240074,6.489389282,81.5284269,19.48649305,chickpea
79,37,78,33.93,14.82633099,7.786366322,88.6810311,19.95264829,chickpea
81,30,75,36.5,16.80472243,6.408437886,68.4951189,19.41789736,chickpea
82,37,55,27.43,18.02235902,8.423873703,78.44910564,19.45591848,chickpea
76,53,65,50.33,16.41998269,8.719960893,77.33795356,20.19137759,chickpea
85,22,60,57.91,14.74071856,7.811997977,94.78189594,18.8392908,chickpea
78,60,61,59.66,19.83643308,6.317153205,94.03659867,20.71219282,chickpea
77,42,67,10.4,15.9362937,7.114405288,78.69707199,18.99424448,chickpea
76,39,76,28.59,15.57324389,8.135900726,69.15759062,19.96837462,chickpea
76,35,63,53.36,17.60756635,7.714153038,90.82097601,17.81564548,chickpea
82,30,65,21.67,15.27824066,7.103798069,76.77888672,20.71424384,chickpea
78,57,56,38.64,18.75626255,8.861479668,67.9545435,17.34150229,chickpea
78,48,65,31.79,14.33847406,7.861128148,73.0926704,17.43732714,chickpea
83,36,56,62.31,19.76182946,7.4526709,69.09512477,18.89780215,chickpea
75,40,58,35.08,14.77959596,7.168096055,89.60982451,18.59190771,chickpea
82,49,69,32.35,15.36143547,7.26311855,81.78710463,18.31561493,chickpea
25,13,60,36.79,20.59541693,5.68597166,128.256862,17.13692774,kidneybeans
16,25,70,10.14,18.90705639,5.759237003,106.3598183,19.63474332,kidneybeans
22,31,55,45.69,21.33953114,5.873171894,109.225556,22.91350245,kidneybeans
16,40,64,63.75,24.24045875,5.926676985,140.3717815,16.43340342,kidneybeans
20,2,61,42.75,23.02251117,5.95561668,76.64128258,22.13974653,kidneybeans
22,26,65,44.61,18.77621951,5.949949081,143.0984171,17.84806561,kidneybeans
21,17,57,63.23,20.31564139,5.789214289,60.91974792,19.88394011,kidneybeans
18,26,80,59.2,23.3334788,5.581021521,104.7783947,19.32509638,kidneybeans
17,17,59,22.28,23.42829938,5.689858133,132.9801054,18.4167001,kidneybeans
22,27,59,25.14,23.20591245,5.794158504,130.0608093,21.81167649,kidneybeans
24,28,58,41.36,18.28173015,5.748190463,143.7630894,19.72702528,kidneybeans
19,25,57,37.18,19.87070659,5.566522896,87.99669731,17.15432954,kidneybeans
17,28,80,63.06,18.67170854,5.809419584,144.1567454,19.62207826,kidneybeans
22,25,60,21.79,21.17919701,5.887263027,134.3649948,21.63149148,kidneybeans
23,12,78,11.27,18.72479695,5.99812453,88.06638775,16.06522754,kidneybeans
25,6,77,50.28,24.36314135,5.792744849,69.63833855,20.61162204,kidneybeans
17,22,79,60.73,20.39659714,5.912289889,116.5206923,21.42451099,kidneybeans
15,27,80,29.73,21.21092266,5.788386951,86.21917578,19.07096165,kidneybeans
23,10,55,42.05,19.63438599,5.728233081,137.1948633,21.18853178,kidneybeans
20,23,65,11.5,22.42610972,5.833940084,108.3684316,23.0429097,kidneybeans
16,19,78,14.6,23.10538637,5.967533236,67.71768947,20.65375833,kidneybeans
25,19,65,13.4,18.29318436,5.625096446,144.7902323,18.09551014,kidneybeans
19,22,70,61.23,21.07643273,5.515615023,69.44951585,18.23775702,kidneybeans
22,37,64,35.57,18.8251973,5.954665349,121.9401369,17.48189735,kidneybeans
17,11,71,45.59,21.47324158,5.74644777,82.68554379,19.9191786,kidneybeans
20,18,79,28.99,23.2353604,5.877347515,139.7521543,20.27514686,kidneybeans
17,21,63,23.26,19.2303162,5.979973965,108.3441414,15.77370214,kidneybeans
22,24,80,44.51,19.17651433,5.635993966,96.77285817,16.71170642,kidneybeans
22,34,60,31.09,18.15302753,5.635231778,100.6711761,17.66148158,kidneybeans
21,16,75,17.82,23.61670065,5.679224346,87.0513289,18.50692825,kidneybeans
23,17,77,11.52,20.81527638,5.670062975,64.19497947,24.51324787,kidneybeans
18,37,72,30.04,24.54038287,5.724242065,105.4120514,18.87614998,kidneybeans
20,40,73,36.21,20.31871249,5.811314232,61.13872036,21.59343016,kidneybeans
17,9,77,34.66,24.45202552,5.783425416,106.158201,20.12373284,kidneybeans
23,1,62,58.38,18.37477907,5.607808432,139.0302034,15.43546065,kidneybeans
22,33,59,64.09,21.59396123,5.946999529,122.3886015,22.64236876,kidneybeans
19,23,59,33.98,24.87304788,5.852046999,129.5650601,21.98560799,kidneybeans
22,6,62,33.95,18.09224048,5.824090984,120.4509288,20.53052663,kidneybeans
20,25,63,55.64,21.14544088,5.502999119,95.17028129,15.78601387,kidneybeans
23,7,79,18.92,19.68751084,5.821649914,96.65888933,19.6365349,kidneybeans
17,8,72,35.28,19.7520218,5.711439256,87.87869161,20.57341244,kidneybeans
15,27,64,43.66,24.84207559,5.514927264,138.2362122,20.16080524,kidneybeans
23,28,66,18.12,24.25386207,5.99616119,120.6913038,21.53989176,kidneybeans
18,32,57,37.74,23.75560241,5.695422863,107.3850593,15.53834801,kidneybeans
22,27,56,63.37,20.70099804,5.833010958,108.6434544,19.91853092,kidneybeans
24,17,77,43.15,18.93146941,5.568456899,109.0193712,20.76952209,kidneybeans
15,0,65,58.85,23.22197648,5.645435626,95.84253438,23.46168338,kidneybeans
21,13,72,10.36,21.0278674,5.821194486,60.27552528,24.32116642,kidneybeans
23,34,60,53.46,24.96969858,5.659254981,100.0497183,20.12574053,kidneybeans
19,9,80,20.96,18.57086554,5.945465949,125.0972687,21.80619564,kidneybeans
20,11,72,64.14,24.92607153,5.951177452,113.334026,19.52226241,kidneybeans
24,3,67,34.29,19.90790546,5.520880014,103.2926407,17.00067625,kidneybeans
23,35,69,43.07,24.96881755,5.578410206,75.45328039,16.78791503,kidneybeans
25,3,77,30.35,22.89464642,5.608165195,62.21292186,24.84906168,kidneybeans
19,23,62,31.6,20.4555596,5.609435128,98.77794225,16.51783455,kidneybeans
17,22,71,11.54,19.38602098,5.509295379,107.6907964,18.15300153,kidneybeans
25,31,79,45.11,22.3104551,5.902033406,63.38208822,23.18864385,kidneybeans
18,34,59,63.89,21.98879437,5.744117663,87.66898664,23.38002569,kidneybeans
17,12,63,37.31,19.37703396,5.717143397,138.414764,18.358923,kidneybeans
20,27,56,50.88,20.51346956,5.542690119,94.9533526,19.25975367,kidneybeans
24,7,63,18.31,24.03553105,5.858617867,107.7315386,22.95458237,kidneybeans
22,24,67,8.37,22.89845607,5.618844277,104.6252153,20.120043,kidneybeans
24,11,71,50.42,22.7182355,5.606620346,141.6056722,21.14011423,kidneybeans
15,37,74,62.07,18.22590825,5.582178402,62.7089169,24.92360104,kidneybeans
